"Type","Indice","Coût total ou par m² (€/m²)","PMV","Heure d'inconfort (h)"
"A","S1 : G3, O1, V2 ","-180","-0.738","-1802.5"
"A","S2 : G4, O1, V2 ","-250","-0.714","-1774.5"
"A","S3 : G3, O1, V3 ","-300","-0.737","-1800.5"
"A","S4 : G4, O1, V3 ","-250","-0.711","-1772"
"A ","S5 : G3, O1, V4 ","-100","-0.931","-2048"
"A","S6 : G4, O1, V4 ","-150","-0.898","-2018.5"
"A","S7 : G3, O1, V5 ","-250","-0.849","-2034.5"
"A","S8 : G4, O1, V5 ","-300","-0.823","-1990.5"
"A","S9 : G3, O2, V2 ","-120","-0.759","-1841"
"A","S10 : G4, O2, V2 ","-190","-0.725","-1792.5"
"A ","S11 : G3, O2, V3 ","-140","-0.778","-1849"
"A","S12 : G4, O2, V3 ","-110","-0.727","-1790"
"A","S13 : G3, O2, V4 ","-150","0.98","-2096"
"A","S14 : G4, O2, V4 ","-300","-0.929","-2044.5"
"A","S15 : G3, O2, V5 ","-220","-0.888","-2075"
"A","S16 : G4, O2, V5 ","-230","-0.849","-2031"
"A","S17 : G3, O3, V2 ","-160","-0.741","-1803.5"
"A","S18 : G4, O3, V2 ","-90","-0.737","-1800"
"A","S19 : G3, O3, V3 ","-100","-0.778","-1854"
"A","S20 : G4, O3, V3 ","-170","-0.737","-1795"
"A ","S21: G3, O3, V4 ","-200","-0.937","-2060.5"
"A","S22 : G4, O3, V4 ","-130","-0.941","-2063"
"A","S23: G3, O3, V5 ","-150","-0.752","-1787"
"A","S24 : G4, O3, V5 ","-250","-0.712","-1738.5"
"B","Mauvais","-250","-0.85875","-2037"
"B","Bon","-137.5","-0.7345","-1794.375"
"T","q","-9.6875","-0.03983125","-95.784375"
"T","p","-38.75","-0.159325","-383.1375"
"T","v","-96.875","-0.3983125","-957.84375"
"w","NaN","0.2","0.4","0.4"
