"Type","Indice","Coût total ou par m² (€/m²)","PMV","Heure d'inconfort (h)"
"A","S1 : G3, O1, V2 ","-180","-0.738","-0.269"
"A","S2 : G4, O1, V2 ","-250","-0.714","-0.265"
"A","S3 : G3, O1, V3 ","-300","-0.737","-0.269"
"A","S4 : G4, O1, V3 ","-250","-0.711","-0.265"
"A ","S5 : G3, O1, V4 ","-100","-0.931","-0.306"
"A","S6 : G4, O1, V4 ","-150","-0.898","-0.301"
"A","S7 : G3, O1, V5 ","-250","-0.849","-0.304"
"A","S8 : G4, O1, V5 ","-300","-0.823","-0.297"
"A","S9 : G3, O2, V2 ","-120","-0.759","-0.275"
"A","S10 : G4, O2, V2 ","-190","-0.725","-0.268"
"A ","S11 : G3, O2, V3 ","-140","-0.778","-0.276"
"A","S12 : G4, O2, V3 ","-110","-0.727","-0.267"
"A","S13 : G3, O2, V4 ","-150","0.98","0.313"
"A","S14 : G4, O2, V4 ","-300","-0.929","-0.305"
"A","S15 : G3, O2, V5 ","-220","-0.888","-0.31"
"A","S16 : G4, O2, V5 ","-230","-0.849","-0.303"
"A","S17 : G3, O3, V2 ","-160","-0.741","-0.269"
"A","S18 : G4, O3, V2 ","-90","-0.737","-0.269"
"A","S19 : G3, O3, V3 ","-100","-0.778","-0.277"
"A","S20 : G4, O3, V3 ","-170","-0.737","-0.268"
"A ","S21: G3, O3, V4 ","-200","-0.937","-0.308"
"A","S22 : G4, O3, V4 ","-130","-0.941","-0.308"
"A","S23: G3, O3, V5 ","-150","-0.752","-0.267"
"A","S24 : G4, O3, V5 ","-250","-0.712","-0.26"
"B","Mauvais","-149.66666666667","-0.58036666666667","-0.20643333333333"
"B","Bon","-37.416666666667","-0.14509166666667","-0.051608333333333"
"T","q","-4.6770833333333","-0.018136458333333","-0.0064510416666667"
"T","p","-18.708333333333","-0.072545833333333","-0.025804166666667"
"T","v","-46.770833333333","-0.18136458333333","-0.064510416666667"
"w","NaN","0.2","4","0.3"
